block_index	block_type	style	alignment	text
329	paragraph	Normal	JUSTIFY (3)	3. Người sử dụng lao động có trách nhiệm sau đây:
330	paragraph	Normal	JUSTIFY (3)	a) Hoàn thành thủ tục xác nhận thời gian đóng bảo hiểm xã hội, bảo hiểm thất nghiệp và trả lại cùng với bản chính giấy tờ khác nếu người sử dụng lao động đã giữ của người lao động;
331	paragraph	Normal	JUSTIFY (3)	b) Cung cấp bản sao các tài liệu liên quan đến quá trình làm việc của người lao động nếu người lao động có yêu cầu. Chi phí sao, gửi tài liệu do người sử dụng lao động trả.
332	paragraph	Normal	CENTER (1)	Mục 4
333	paragraph	Normal	CENTER (1)	HỢP ĐỒNG LAO ĐỘNG VÔ HIỆU
334	paragraph	Normal	JUSTIFY (3)	Điều 49. Hợp đồng lao động vô hiệu
335	paragraph	Normal	JUSTIFY (3)	1. Hợp đồng lao động vô hiệu toàn bộ trong trường hợp sau đây:
336	paragraph	Normal	JUSTIFY (3)	a) Toàn bộ nội dung của hợp đồng lao động vi phạm pháp luật;
337	paragraph	Normal	JUSTIFY (3)	b) Người giao kết hợp đồng lao động không đúng thẩm quyền hoặc vi phạm nguyên tắc giao kết hợp đồng lao động quy định tại khoản 1 Điều 15 của Bộ luật này; 
338	paragraph	Normal	JUSTIFY (3)	c) Công việc đã giao kết trong hợp đồng lao động là công việc mà pháp luật cấm.
339	paragraph	Normal	JUSTIFY (3)	2. Hợp đồng lao động vô hiệu từng phần khi nội dung của phần đó vi phạm pháp luật nhưng không ảnh hưởng đến các phần còn lại của hợp đồng.
340	paragraph	Normal	JUSTIFY (3)	Điều 50. Thẩm quyền tuyên bố hợp đồng lao động vô hiệu
341	paragraph	Normal	JUSTIFY (3)	Tòa án nhân dân có quyền tuyên bố hợp đồng lao động vô hiệu.
342	paragraph	Normal	JUSTIFY (3)	Điều 51. Xử lý hợp đồng lao động vô hiệu
343	paragraph	Normal	JUSTIFY (3)	1. Khi hợp đồng lao động bị tuyên bố vô hiệu từng phần thì xử lý như sau:
344	paragraph	Normal	JUSTIFY (3)	a) Quyền, nghĩa vụ và lợi ích của hai bên được giải quyết theo thỏa ước lao động tập thể đang áp dụng; trường hợp không có thỏa ước lao động tập thể thì thực hiện theo quy định của pháp luật;
345	paragraph	Normal	JUSTIFY (3)	b) Hai bên tiến hành sửa đổi, bổ sung phần của hợp đồng lao động bị tuyên bố vô hiệu để phù hợp với thỏa ước lao động tập thể hoặc pháp luật về lao động.
346	paragraph	Normal	JUSTIFY (3)	2. Khi hợp đồng lao động bị tuyên bố vô hiệu toàn bộ thì quyền, nghĩa vụ và lợi ích của người lao động được giải quyết theo quy định của pháp luật; trường hợp do ký sai thẩm quyền thì hai bên ký lại.
347	paragraph	Normal	JUSTIFY (3)	3. Chính phủ quy định chi tiết Điều này.
348	paragraph	Normal	CENTER (1)	Mục 5
349	paragraph	Normal	CENTER (1)	CHO THUÊ LẠI LAO ĐỘNG
350	paragraph	Normal	JUSTIFY (3)	Điều 52. Cho thuê lại lao động
351	paragraph	Normal	JUSTIFY (3)	1. Cho thuê lại lao động là việc người lao động giao kết hợp đồng lao động với một người sử dụng lao động là doanh nghiệp cho thuê lại lao động, sau đó người lao động được chuyển sang làm việc và chịu sự điều hành của người sử dụng lao động khác mà vẫn duy trì quan hệ lao động với người sử dụng lao động đã giao kết hợp đồng lao động.
352	paragraph	Normal	JUSTIFY (3)	2. Hoạt động cho thuê lại lao động là ngành, nghề kinh doanh có điều kiện, chỉ được thực hiện bởi các doanh nghiệp có Giấy phép hoạt động cho thuê lại lao động và áp dụng đối với một số công việc nhất định.
353	paragraph	Normal	JUSTIFY (3)	Điều 53. Nguyên tắc hoạt động cho thuê lại lao động
354	paragraph	Normal	JUSTIFY (3)	1. Thời hạn cho thuê lại lao động đối với người lao động tối đa là 12 tháng. 
355	paragraph	Normal	JUSTIFY (3)	2. Bên thuê lại lao động được sử dụng lao động thuê lại trong trường hợp sau đây: 
356	paragraph	Normal	JUSTIFY (3)	a) Đáp ứng tạm thời sự gia tăng đột ngột về nhu cầu sử dụng lao động trong khoảng thời gian nhất định;
357	paragraph	Normal	JUSTIFY (3)	b) Thay thế người lao động trong thời gian nghỉ thai sản, bị tai nạn lao động, bệnh nghề nghiệp hoặc phải thực hiện các nghĩa vụ công dân;
358	paragraph	Normal	JUSTIFY (3)	c) Có nhu cầu sử dụng lao động trình độ chuyên môn, kỹ thuật cao.
359	paragraph	Normal	JUSTIFY (3)	3. Bên thuê lại lao động không được sử dụng lao động thuê lại trong trường hợp sau đây:
360	paragraph	Normal	JUSTIFY (3)	a) Để thay thế người lao động đang trong thời gian thực hiện quyền đình công, giải quyết tranh chấp lao động;
361	paragraph	Normal	JUSTIFY (3)	b) Không có thỏa thuận cụ thể về trách nhiệm bồi thường tai nạn lao động, bệnh nghề nghiệp của người lao động thuê lại với doanh nghiệp cho thuê lại lao động;
362	paragraph	Normal	JUSTIFY (3)	c) Thay thế người lao động bị cho thôi việc do thay đổi cơ cấu, công nghệ, vì lý do kinh tế hoặc chia, tách, hợp nhất, sáp nhập.
363	paragraph	Normal	JUSTIFY (3)	4. Bên thuê lại lao động không được chuyển người lao động thuê lại cho người sử dụng lao động khác; không được sử dụng người lao động thuê lại được cung cấp bởi doanh nghiệp không có Giấy phép hoạt động cho thuê lại lao động.
364	paragraph	Normal	JUSTIFY (3)	Điều 54. Doanh nghiệp cho thuê lại lao động
365	paragraph	Normal	JUSTIFY (3)	1. Doanh nghiệp cho thuê lại lao động phải ký quỹ và được cấp Giấy phép hoạt động cho thuê lại lao động.
366	paragraph	Normal	JUSTIFY (3)	2. Chính phủ quy định việc ký quỹ, điều kiện, trình tự, thủ tục cấp, cấp lại, gia hạn, thu hồi Giấy phép hoạt động cho thuê lại lao động và danh mục công việc được thực hiện cho thuê lại lao động.
367	paragraph	Normal	JUSTIFY (3)	Điều 55. Hợp đồng cho thuê lại lao động
368	paragraph	Normal	JUSTIFY (3)	1. Doanh nghiệp cho thuê lại lao động và bên thuê lại lao động phải ký kết hợp đồng cho thuê lại lao động bằng văn bản và được làm thành 02 bản, mỗi bên giữ 01 bản.
369	paragraph	Normal	JUSTIFY (3)	2. Hợp đồng cho thuê lại lao động gồm các nội dung chủ yếu sau đây:
370	paragraph	Normal	JUSTIFY (3)	a) Địa điểm làm việc, vị trí việc làm cần sử dụng lao động thuê lại, nội dung cụ thể của công việc, yêu cầu cụ thể đối với người lao động thuê lại;
371	paragraph	Normal	JUSTIFY (3)	b) Thời hạn thuê lại lao động; thời gian bắt đầu làm việc của người lao động thuê lại;
372	paragraph	Normal	JUSTIFY (3)	c) Thời giờ làm việc, thời giờ nghỉ ngơi, điều kiện an toàn, vệ sinh lao động tại nơi làm việc;
373	paragraph	Normal	JUSTIFY (3)	d) Trách nhiệm bồi thường tai nạn lao động, bệnh nghề nghiệp;
374	paragraph	Normal	JUSTIFY (3)	đ) Nghĩa vụ của mỗi bên đối với người lao động.
375	paragraph	Normal	JUSTIFY (3)	3. Hợp đồng cho thuê lại lao động không được có những thỏa thuận về quyền, lợi ích của người lao động thấp hơn so với hợp đồng lao động mà doanh nghiệp cho thuê lại lao động đã ký với người lao động.
376	paragraph	Normal	JUSTIFY (3)	Điều 56. Quyền và nghĩa vụ của doanh nghiệp cho thuê lại lao động
377	paragraph	Normal	JUSTIFY (3)	Ngoài các quyền và nghĩa vụ quy định tại Điều 6 của Bộ luật này, doanh nghiệp cho thuê lại lao động có các quyền và nghĩa vụ sau đây:
378	paragraph	Normal	JUSTIFY (3)	1. Bảo đảm đưa người lao động có trình độ phù hợp với những yêu cầu của bên thuê lại lao động và nội dung của hợp đồng lao động đã ký với người lao động;
379	paragraph	Normal	JUSTIFY (3)	2. Thông báo cho người lao động biết nội dung của hợp đồng cho thuê lại lao động;
380	paragraph	Normal	JUSTIFY (3)	3. Thông báo cho bên thuê lại lao động biết sơ yếu lý lịch của người lao động, yêu cầu của người lao động;
381	paragraph	Normal	JUSTIFY (3)	4. Bảo đảm trả lương cho người lao động thuê lại không thấp hơn tiền lương của người lao động của bên thuê lại lao động có cùng trình độ, làm cùng công việc hoặc công việc có giá trị như nhau;
382	paragraph	Normal	JUSTIFY (3)	5. Lập hồ sơ ghi rõ số lao động đã cho thuê lại, bên thuê lại lao động và định kỳ báo cáo cơ quan chuyên môn về lao động thuộc Ủy ban nhân dân cấp tỉnh; 
383	paragraph	Normal	JUSTIFY (3)	6. Xử lý kỷ luật lao động đối với người lao động vi phạm kỷ luật lao động khi bên thuê lại lao động trả lại người lao động do vi phạm kỷ luật lao động.
384	paragraph	Normal	JUSTIFY (3)	Điều 57. Quyền và nghĩa vụ của bên thuê lại lao động
385	paragraph	Normal	JUSTIFY (3)	1. Thông báo, hướng dẫn cho người lao động thuê lại biết nội quy lao động và các quy chế khác của mình.
386	paragraph	Normal	JUSTIFY (3)	2. Không được phân biệt đối xử về điều kiện lao động đối với người lao động thuê lại so với người lao động của mình.
387	paragraph	Normal	JUSTIFY (3)	3. Thỏa thuận với người lao động thuê lại về làm việc vào ban đêm, làm thêm giờ theo quy định của Bộ luật này.
388	paragraph	Normal	JUSTIFY (3)	4. Thỏa thuận với người lao động thuê lại và doanh nghiệp cho thuê lại lao động để tuyển dụng chính thức người lao động thuê lại làm việc cho mình trong trường hợp hợp đồng lao động của người lao động thuê lại với doanh nghiệp cho thuê lại lao động chưa chấm dứt.
389	paragraph	Normal	JUSTIFY (3)	5. Trả lại người lao động thuê lại không đáp ứng yêu cầu như đã thỏa thuận hoặc vi phạm kỷ luật lao động cho doanh nghiệp cho thuê lại lao động.
390	paragraph	Normal	JUSTIFY (3)	6. Cung cấp cho doanh nghiệp cho thuê lại lao động chứng cứ về hành vi vi phạm kỷ luật lao động của người lao động thuê lại để xem xét xử lý kỷ luật lao động.
391	paragraph	Normal	JUSTIFY (3)	Điều 58. Quyền và nghĩa vụ của người lao động thuê lại
392	paragraph	Normal	JUSTIFY (3)	Ngoài các quyền và nghĩa vụ theo quy định tại Điều 5 của Bộ luật này, người lao động thuê lại có các quyền và nghĩa vụ sau đây:  
393	paragraph	Normal	JUSTIFY (3)	1. Thực hiện công việc theo hợp đồng lao động đã ký với doanh nghiệp hoạt động cho thuê lại lao động;
394	paragraph	Normal	JUSTIFY (3)	2. Chấp hành kỷ luật lao động, nội quy lao động; tuân theo sự quản lý, điều hành, giám sát hợp pháp của bên thuê lại lao động;
395	paragraph	Normal	JUSTIFY (3)	3. Được trả lương không thấp hơn tiền lương của người lao động của bên thuê lại lao động có cùng trình độ, làm cùng công việc hoặc công việc có giá trị như nhau;
396	paragraph	Normal	JUSTIFY (3)	4. Khiếu nại với doanh nghiệp cho thuê lại lao động trong trường hợp bị bên thuê lại lao động vi phạm các thỏa thuận trong hợp đồng cho thuê lại lao động;
397	paragraph	Normal	JUSTIFY (3)	5. Thỏa thuận chấm dứt hợp đồng lao động với doanh nghiệp cho thuê lại lao động để giao kết hợp đồng lao động với bên thuê lại lao động.
398	paragraph	Normal	CENTER (1)	
399	paragraph	Normal	CENTER (1)	Chương IV
400	paragraph	Normal	CENTER (1)	GIÁO DỤC NGHỀ NGHIỆP VÀ PHÁT TRIỂN KỸ NĂNG NGHỀ
401	paragraph	Normal	JUSTIFY (3)	Điều 59. Đào tạo nghề nghiệp và phát triển kỹ năng nghề
402	paragraph	Normal	JUSTIFY (3)	1. Người lao động được tự do lựa chọn đào tạo nghề nghiệp, tham gia đánh giá, công nhận kỹ năng nghề quốc gia, phát triển năng lực nghề nghiệp phù hợp với nhu cầu việc làm và khả năng của mình. 
403	paragraph	Normal	JUSTIFY (3)	2. Nhà nước có chính sách khuyến khích người sử dụng lao động có đủ điều kiện đào tạo nghề nghiệp và phát triển kỹ năng nghề cho người lao động đang làm việc cho mình và người lao động khác trong xã hội thông qua hoạt động sau đây:
404	paragraph	Normal	JUSTIFY (3)	a)2Thành lập cơ sở giáo dục nghề nghiệp hoặc mở lớp đào tạo nghề tại nơi làm việc để đào tạo, đào tạo lại, bồi dưỡng, nâng cao trình độ, kỹ năng nghề cho người lao động; phối hợp với cơ sở giáo dục nghề nghiệp đào tạo chương trình giáo dục trung học nghề và các chương trình đào tạo trình độ sơ cấp, trung cấp, cao đẳng theo quy định;
405	paragraph	Normal	JUSTIFY (3)	b) Tổ chức thi kỹ năng nghề cho người lao động; tham gia hội đồng kỹ năng nghề; dự báo nhu cầu và xây dựng tiêu chuẩn kỹ năng nghề; tổ chức đánh giá và công nhận kỹ năng nghề; phát triển năng lực nghề nghiệp cho người lao động.
406	paragraph	Normal	JUSTIFY (3)	Điều 60. Trách nhiệm của người sử dụng lao động về đào tạo, bồi dưỡng, nâng cao trình độ, kỹ năng nghề
407	paragraph	Normal	JUSTIFY (3)	1. Người sử dụng lao động xây dựng kế hoạch hằng năm và dành kinh phí cho việc đào tạo, bồi dưỡng, nâng cao trình độ, kỹ năng nghề, phát triển kỹ năng nghề cho người lao động đang làm việc cho mình; đào tạo cho người lao động trước khi chuyển làm nghề khác cho mình.
408	paragraph	Normal	JUSTIFY (3)	2. Hằng năm, người sử dụng lao động thông báo kết quả đào tạo, bồi dưỡng, nâng cao trình độ, kỹ năng nghề cho cơ quan chuyên môn về lao động thuộc Ủy ban nhân dân cấp tỉnh.
409	paragraph	Normal	JUSTIFY (3)	Điều 61. Học nghề, tập nghề để làm việc cho người sử dụng lao động
410	paragraph	Normal	JUSTIFY (3)	1. Học nghề để làm việc cho người sử dụng lao động là việc người sử dụng lao động tuyển người vào để đào tạo nghề nghiệp tại nơi làm việc. Thời gian học nghề theo chương trình đào tạo của từng trình độ theo quy định của Luật Giáo dục nghề nghiệp.
411	paragraph	Normal	JUSTIFY (3)	2. Tập nghề để làm việc cho người sử dụng lao động là việc người sử dụng lao động tuyển người vào để hướng dẫn thực hành công việc, tập làm nghề theo vị trí việc làm tại nơi làm việc. Thời hạn tập nghề không quá 03 tháng.
412	paragraph	Normal	JUSTIFY (3)	3.3 Người sử dụng lao động tuyển người vào học nghề, tập nghề để làm việc cho mình thì không được thu học phí.
413	paragraph	Normal	JUSTIFY (3)	4. Người học nghề, người tập nghề phải đủ 14 tuổi trở lên và phải có đủ sức khỏe phù hợp với yêu cầu học nghề, tập nghề. Người học nghề, người tập nghề thuộc danh mục nghề, công việc nặng nhọc, độc hại, nguy hiểm hoặc đặc biệt nặng nhọc, độc hại, nguy hiểm do Bộ trưởng Bộ Lao động - Thương binh và Xã hội ban hành phải từ đủ 18 tuổi trở lên, trừ lĩnh vực nghệ thuật, thể dục, thể thao.
414	paragraph	Normal	JUSTIFY (3)	5. Trong thời gian học nghề, tập nghề, nếu người học nghề, người tập nghề trực tiếp hoặc tham gia lao động thì được người sử dụng lao động trả lương theo mức do hai bên thỏa thuận.
415	paragraph	Normal	JUSTIFY (3)	6. Hết thời hạn học nghề, tập nghề, hai bên phải ký kết hợp đồng lao động khi đủ các điều kiện theo quy định của Bộ luật này.
416	paragraph	Normal	JUSTIFY (3)	Điều 62. Hợp đồng đào tạo nghề giữa người sử dụng lao động, người lao động và chi phí đào tạo nghề
417	paragraph	Normal	JUSTIFY (3)	1. Hai bên phải ký kết hợp đồng đào tạo nghề trong trường hợp người lao động được đào tạo nâng cao trình độ, kỹ năng nghề, đào tạo lại ở trong nước hoặc nước ngoài từ kinh phí của người sử dụng lao động, kể cả kinh phí do đối tác tài trợ cho người sử dụng lao động.
418	paragraph	Normal	JUSTIFY (3)	Hợp đồng đào tạo nghề phải làm thành 02 bản, mỗi bên giữ 01 bản.
419	paragraph	Normal	JUSTIFY (3)	2. Hợp đồng đào tạo nghề phải có các nội dung chủ yếu sau đây:
420	paragraph	Normal	JUSTIFY (3)	a) Nghề đào tạo;
421	paragraph	Normal	JUSTIFY (3)	b) Địa điểm, thời gian và tiền lương trong thời gian đào tạo;
422	paragraph	Normal	JUSTIFY (3)	c) Thời hạn cam kết phải làm việc sau khi được đào tạo;
423	paragraph	Normal	JUSTIFY (3)	d) Chi phí đào tạo và trách nhiệm hoàn trả chi phí đào tạo;
424	paragraph	Normal	JUSTIFY (3)	đ) Trách nhiệm của người sử dụng lao động;
425	paragraph	Normal	JUSTIFY (3)	e) Trách nhiệm của người lao động.
426	paragraph	Normal	JUSTIFY (3)	3. Chi phí đào tạo bao gồm các khoản chi có chứng từ hợp lệ về chi phí trả cho người dạy, tài liệu học tập, trường, lớp, máy, thiết bị, vật liệu thực hành, các chi phí khác hỗ trợ cho người học và tiền lương, tiền đóng bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp cho người học trong thời gian đi học. Trường hợp người lao động được gửi đi đào tạo ở nước ngoài thì chi phí đào tạo còn bao gồm chi phí đi lại, chi phí sinh hoạt trong thời gian đào tạo.
427	paragraph	Normal	JUSTIFY (3)	
428	paragraph	Normal	CENTER (1)	Chương V
429	paragraph	Normal	CENTER (1)	"ĐỐI THOẠI TẠI NƠI LÀM VIỆC, THƯƠNG LƯỢNG TẬP THỂ,
THỎA ƯỚC LAO ĐỘNG TẬP THỂ"
430	paragraph	Normal	CENTER (1)	Mục 1
431	paragraph	Normal	CENTER (1)	ĐỐI THOẠI TẠI NƠI LÀM VIỆC
432	paragraph	Normal	JUSTIFY (3)	Điều 63. Tổ chức đối thoại tại nơi làm việc
433	paragraph	Normal	JUSTIFY (3)	1. Đối thoại tại nơi làm việc là việc chia sẻ thông tin, tham khảo, thảo luận, trao đổi ý kiến giữa người sử dụng lao động với người lao động hoặc tổ chức đại diện người lao động về những vấn đề liên quan đến quyền, lợi ích và mối quan tâm của các bên tại nơi làm việc nhằm tăng cường sự hiểu biết, hợp tác, cùng nỗ lực hướng tới giải pháp các bên cùng có lợi. 
434	paragraph	Normal	JUSTIFY (3)	2. Người sử dụng lao động phải tổ chức đối thoại tại nơi làm việc trong trường hợp sau đây:
435	paragraph	Normal	JUSTIFY (3)	a) Định kỳ ít nhất 01 năm một lần;
436	paragraph	Normal	JUSTIFY (3)	b) Khi có yêu cầu của một hoặc các bên;
437	paragraph	Normal	JUSTIFY (3)	c) Khi có vụ việc quy định tại điểm a khoản 1 Điều 36, các điều 42, 44, 93, 104, 118 và khoản 1 Điều 128 của Bộ luật này.
438	paragraph	Normal	JUSTIFY (3)	3. Khuyến khích người sử dụng lao động và người lao động hoặc tổ chức đại diện người lao động tiến hành đối thoại ngoài những trường hợp quy định tại khoản 2 Điều này. 
439	paragraph	Normal	JUSTIFY (3)	4. Chính phủ quy định việc tổ chức đối thoại và thực hiện quy chế dân chủ ở cơ sở tại nơi làm việc.
440	paragraph	Normal	JUSTIFY (3)	Điều 64. Nội dung đối thoại tại nơi làm việc
441	paragraph	Normal	JUSTIFY (3)	1. Nội dung đối thoại bắt buộc theo quy định tại điểm c khoản 2 Điều 63 của Bộ luật này. 
442	paragraph	Normal	JUSTIFY (3)	2. Ngoài nội dung quy định tại khoản 1 Điều này, các bên lựa chọn một hoặc một số nội dung sau đây để tiến hành đối thoại:
443	paragraph	Normal	JUSTIFY (3)	a) Tình hình sản xuất, kinh doanh của người sử dụng lao động;
444	paragraph	Normal	JUSTIFY (3)	b) Việc thực hiện hợp đồng lao động, thỏa ước lao động tập thể, nội quy lao động, quy chế và cam kết, thỏa thuận khác tại nơi làm việc;
445	paragraph	Normal	JUSTIFY (3)	c) Điều kiện làm việc;
446	paragraph	Normal	JUSTIFY (3)	d) Yêu cầu của người lao động, tổ chức đại diện người lao động đối với người sử dụng lao động;
447	paragraph	Normal	JUSTIFY (3)	đ) Yêu cầu của người sử dụng lao động đối với người lao động, tổ chức đại diện người lao động;
448	paragraph	Normal	JUSTIFY (3)	e) Nội dung khác mà một hoặc các bên quan tâm.
449	paragraph	Normal	CENTER (1)	Mục 2
450	paragraph	Normal	CENTER (1)	THƯƠNG LƯỢNG TẬP THỂ
451	paragraph	Normal	JUSTIFY (3)	Điều 65. Thương lượng tập thể
452	paragraph	Normal	JUSTIFY (3)	Thương lượng tập thể là việc đàm phán, thỏa thuận giữa một bên là một hoặc nhiều tổ chức đại diện người lao động với một bên là một hoặc nhiều người sử dụng lao động hoặc tổ chức đại diện người sử dụng lao động nhằm xác lập điều kiện lao động, quy định về mối quan hệ giữa các bên và xây dựng quan hệ lao động tiến bộ, hài hòa và ổn định.
453	paragraph	Normal	JUSTIFY (3)	Điều 66. Nguyên tắc thương lượng tập thể
454	paragraph	Normal	JUSTIFY (3)	Thương lượng tập thể được tiến hành theo nguyên tắc tự nguyện, hợp tác, thiện chí, bình đẳng, công khai và minh bạch.
455	paragraph	Normal	JUSTIFY (3)	Điều 67. Nội dung thương lượng tập thể
456	paragraph	Normal	JUSTIFY (3)	Các bên thương lượng lựa chọn một hoặc một số nội dung sau để tiến hành thương lượng tập thể:
457	paragraph	Normal	JUSTIFY (3)	1. Tiền lương, trợ cấp, nâng lương, thưởng, bữa ăn và các chế độ khác;
458	paragraph	Normal	JUSTIFY (3)	2. Mức lao động và thời giờ làm việc, thời giờ nghỉ ngơi, làm thêm giờ, nghỉ giữa ca;
459	paragraph	Normal	JUSTIFY (3)	3. Bảo đảm việc làm đối với người lao động;
460	paragraph	Normal	JUSTIFY (3)	4. Bảo đảm an toàn, vệ sinh lao động; thực hiện nội quy lao động;
461	paragraph	Normal	JUSTIFY (3)	5. Điều kiện, phương tiện hoạt động của tổ chức đại diện người lao động; mối quan hệ giữa người sử dụng lao động và tổ chức đại diện người lao động;
462	paragraph	Normal	JUSTIFY (3)	6. Cơ chế, phương thức phòng ngừa, giải quyết tranh chấp lao động; 
463	paragraph	Normal	JUSTIFY (3)	7. Bảo đảm bình đẳng giới, bảo vệ thai sản, nghỉ hằng năm; phòng, chống bạo lực và quấy rối tình dục tại nơi làm việc;
464	paragraph	Normal	JUSTIFY (3)	8. Nội dung khác mà một hoặc các bên quan tâm.
465	paragraph	Normal	JUSTIFY (3)	Điều 68. Quyền thương lượng tập thể của tổ chức đại diện người lao động tại cơ sở trong doanh nghiệp
466	paragraph	Normal	JUSTIFY (3)	1. Tổ chức đại diện người lao động tại cơ sở có quyền yêu cầu thương lượng tập thể khi đạt tỷ lệ thành viên tối thiểu trên tổng số người lao động trong doanh nghiệp theo quy định của Chính phủ.
467	paragraph	Normal	JUSTIFY (3)	2. Trường hợp doanh nghiệp có nhiều tổ chức đại diện người lao động tại cơ sở đáp ứng quy định tại khoản 1 Điều này thì tổ chức có quyền yêu cầu thương lượng là tổ chức có số thành viên nhiều nhất trong doanh nghiệp. Các tổ chức đại diện người lao động tại cơ sở khác có thể tham gia thương lượng tập thể khi được tổ chức đại diện người lao động có quyền yêu cầu thương lượng tập thể đồng ý.  
468	paragraph	Normal	JUSTIFY (3)	3. Trường hợp doanh nghiệp có nhiều tổ chức đại diện người lao động tại cơ sở mà không có tổ chức nào đáp ứng quy định tại khoản 1 Điều này thì các tổ chức có quyền tự nguyện kết hợp với nhau để yêu cầu thương lượng tập thể nhưng tổng số thành viên của các tổ chức này phải đạt tỷ lệ tối thiểu theo quy định tại khoản 1 Điều này. 
469	paragraph	Normal	JUSTIFY (3)	4. Chính phủ quy định việc giải quyết tranh chấp giữa các bên liên quan đến quyền thương lượng tập thể.
470	paragraph	Normal	JUSTIFY (3)	Điều 69. Đại diện thương lượng tập thể tại doanh nghiệp
471	paragraph	Normal	JUSTIFY (3)	1. Số lượng người tham gia thương lượng tập thể của mỗi bên do các bên thỏa thuận.
472	paragraph	Normal	JUSTIFY (3)	2. Thành phần tham gia thương lượng tập thể của mỗi bên do bên đó quyết định. 
473	paragraph	Normal	JUSTIFY (3)	Trường hợp bên người lao động có nhiều tổ chức đại diện tham gia thương lượng tập thể theo quy định tại khoản 2 Điều 68 của Bộ luật này thì tổ chức đại diện có quyền yêu cầu thương lượng quyết định số lượng đại diện của mỗi tổ chức tham gia thương lượng. 
474	paragraph	Normal	JUSTIFY (3)	Trường hợp bên người lao động có nhiều tổ chức đại diện tham gia thương lượng tập thể theo quy định tại khoản 3 Điều 68 của Bộ luật này thì số lượng đại diện của mỗi tổ chức do các tổ chức đó thỏa thuận. Trường hợp không thỏa thuận được thì từng tổ chức xác định số lượng đại diện tham gia tương ứng theo số lượng thành viên của tổ chức mình trên tổng số thành viên của các tổ chức.  
475	paragraph	Normal	JUSTIFY (3)	3. Mỗi bên thương lượng tập thể có quyền mời tổ chức đại diện cấp trên của mình cử người tham gia là đại diện thương lượng và bên kia không được từ chối. Đại diện thương lượng tập thể của mỗi bên không được vượt quá số lượng quy định tại khoản 1 Điều này, trừ trường hợp được bên kia đồng ý.
476	paragraph	Normal	JUSTIFY (3)	Điều 70. Quy trình thương lượng tập thể tại doanh nghiệp
477	paragraph	Normal	JUSTIFY (3)	1. Khi có yêu cầu thương lượng tập thể của tổ chức đại diện người lao động tại cơ sở có quyền yêu cầu thương lượng tập thể theo quy định tại Điều 68 của Bộ luật này hoặc yêu cầu của người sử dụng lao động thì bên nhận được yêu cầu không được từ chối việc thương lượng. 
478	paragraph	Normal	JUSTIFY (3)	Trong thời hạn 07 ngày làm việc kể từ ngày nhận được yêu cầu và nội dung thương lượng, các bên thỏa thuận về địa điểm, thời gian bắt đầu thương lượng. 
479	paragraph	Normal	JUSTIFY (3)	Người sử dụng lao động có trách nhiệm bố trí thời gian, địa điểm và các điều kiện cần thiết để tổ chức các phiên họp thương lượng tập thể. 
480	paragraph	Normal	JUSTIFY (3)	Thời gian bắt đầu thương lượng không được quá 30 ngày kể từ ngày nhận được yêu cầu thương lượng tập thể. 
481	paragraph	Normal	JUSTIFY (3)	2. Thời gian thương lượng tập thể không được quá 90 ngày kể từ ngày bắt đầu thương lượng, trừ trường hợp các bên có thỏa thuận khác.
482	paragraph	Normal	JUSTIFY (3)	Thời gian tham gia các phiên họp thương lượng tập thể của đại diện bên người lao động được tính là thời gian làm việc có hưởng lương. Trường hợp người lao động là thành viên của tổ chức đại diện người lao động tham gia các phiên họp thương lượng tập thể thì thời gian tham gia các phiên họp không tính vào thời gian quy định tại khoản 2 Điều 176 của Bộ luật này.
483	paragraph	Normal	JUSTIFY (3)	3. Trong quá trình thương lượng tập thể, nếu có yêu cầu của bên đại diện người lao động thì trong thời hạn 10 ngày kể từ ngày nhận được yêu cầu, bên người sử dụng lao động có trách nhiệm cung cấp thông tin về tình hình hoạt động sản xuất, kinh doanh và nội dung khác liên quan trực tiếp đến nội dung thương lượng trong phạm vi doanh nghiệp nhằm tạo điều kiện thuận lợi cho thương lượng tập thể, trừ thông tin về bí mật kinh doanh, bí mật công nghệ của người sử dụng lao động.
484	paragraph	Normal	JUSTIFY (3)	4. Tổ chức đại diện người lao động tại cơ sở có quyền tổ chức thảo luận, lấy ý kiến người lao động về nội dung, cách thức tiến hành và kết quả của quá trình thương lượng tập thể.
485	paragraph	Normal	JUSTIFY (3)	Tổ chức đại diện người lao động tại cơ sở quyết định về thời gian, địa điểm và cách thức tiến hành thảo luận, lấy ý kiến người lao động nhưng không được làm ảnh hưởng đến hoạt động sản xuất, kinh doanh bình thường của doanh nghiệp.
486	paragraph	Normal	JUSTIFY (3)	Người sử dụng lao động không được gây khó khăn, cản trở hoặc can thiệp vào quá trình tổ chức đại diện người lao động thảo luận, lấy ý kiến người lao động.
487	paragraph	Normal	JUSTIFY (3)	5. Việc thương lượng tập thể phải được lập biên bản, trong đó ghi rõ nội dung đã được các bên thống nhất, nội dung còn ý kiến khác nhau. Biên bản thương lượng tập thể phải có chữ ký của đại diện các bên thương lượng và của người ghi biên bản. Tổ chức đại diện người lao động tại cơ sở công bố rộng rãi, công khai biên bản thương lượng tập thể đến toàn bộ người lao động. 
488	paragraph	Normal	JUSTIFY (3)	Điều 71. Thương lượng tập thể không thành
